Right Hand: nearableID,Right Hand: frequency,Right Hand: rssi,Right Hand: xAcceleration,Right Hand: yAcceleration,Right Hand: zAcceleration,Right Hand: currentStateDuration,Right Hand: previousStateDuration,Right Hand: timeStampRecorded,Left Foot: nearableID,Left Foot: frequency,Left Foot: rssi,Left Foot: xAcceleration,Left Foot: yAcceleration,Left Foot: zAcceleration,Left Foot: currentStateDuration,Left Foot: previousStateDuration,Left Foot: timeStampRecorded,Chest: nearableID,Chest: frequency,Chest: rssi,Chest: xAcceleration,Chest: yAcceleration,Chest: zAcceleration,Chest: currentStateDuration,Chest: previousStateDuration,Chest: timeStampRecorded,Left Hand: nearableID,Left Hand: frequency,Left Hand: rssi,Left Hand: xAcceleration,Left Hand: yAcceleration,Left Hand: zAcceleration,Left Hand: currentStateDuration,Left Hand: previousStateDuration,Left Hand: timeStampRecorded,Belly: nearableID,Belly: frequency,Belly: rssi,Belly: xAcceleration,Belly: yAcceleration,Belly: zAcceleration,Belly: currentStateDuration,Belly: previousStateDuration,Belly: timeStampRecorded,Right Foot: nearableID,Right Foot: frequency,Right Foot: rssi,Right Foot: xAcceleration,Right Foot: yAcceleration,Right Foot: zAcceleration,Right Foot: currentStateDuration,Right Foot: previousStateDuration,Right Foot: timeStampRecorded,Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
15b97f918a0f190e,6.25,-58,3.72,-8.27,-1.99,5,1,2017-05-04 19:49:03:886,6f04e4f3c33f4582,5.02,-80,-1.5,-8.86,0.06,1,34,2017-05-04 19:49:03:877,81d2d09867170c78,4.67,127,0.94,-9.15,-0.41,0,0,2017-05-04 19:49:03:799,b629b3c016e88b50,4.43,-93,-7.64,-9.16,-2.87,8,3,2017-05-04 19:49:03:874,c3f8b83f7aaa4c4b,4.05,-79,-2.58,-8.58,1.75,2,9,2017-05-04 19:49:03:665,ca7d0c3306de2d28,4.89,-76,-1.67,-9.11,1.13,2,34,2017-05-04 19:49:03:832,,,,,,,,,,,,,setBreak,setBreak,2017-05-04 19:49:03:950,6
15b97f918a0f190e,6.41,-60,2.02,-10.04,-3.15,5,1,2017-05-04 19:49:04:005,6f04e4f3c33f4582,5.02,-80,-1.5,-8.86,0.06,1,34,2017-05-04 19:49:03:877,81d2d09867170c78,4.67,127,0.94,-9.15,-0.41,0,0,2017-05-04 19:49:03:799,b629b3c016e88b50,4.43,-93,-7.64,-9.16,-2.87,8,3,2017-05-04 19:49:03:874,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,4.89,-76,-1.67,-9.11,1.13,2,34,2017-05-04 19:49:03:832,-0.04,-0.99,-0.14,0.2,0.01,-0.04,1.42,-0.3,0.26,-0.13,0.27,-0.22,setBreak,setBreak,2017-05-04 19:49:04:044,6
15b97f918a0f190e,6.62,-59,2.31,-9.47,-3.64,5,1,2017-05-04 19:49:04:111,6f04e4f3c33f4582,5.02,-80,-1.5,-8.86,0.06,1,34,2017-05-04 19:49:03:877,81d2d09867170c78,4.42,-88,-0.43,-9.92,-0.73,0,0,2017-05-04 19:49:04:133,b629b3c016e88b50,4.43,-93,-7.64,-9.16,-2.87,8,3,2017-05-04 19:49:03:874,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,4.84,-80,-1.03,-9.33,0.65,2,34,2017-05-04 19:49:04:058,-0.03,-0.99,-0.17,0.21,0.03,-0.04,1.4,-0.19,0.16,-0.28,-0.1,0.07,setBreak,setBreak,2017-05-04 19:49:04:144,6
15b97f918a0f190e,6.62,-59,2.31,-9.47,-3.64,5,1,2017-05-04 19:49:04:111,6f04e4f3c33f4582,4.72,-81,-1.83,-9.5,0.51,1,34,2017-05-04 19:49:04:205,81d2d09867170c78,4.67,-89,-0.39,-10.03,-0.85,0,0,2017-05-04 19:49:04:239,b629b3c016e88b50,4.43,-93,-7.64,-9.16,-2.87,8,3,2017-05-04 19:49:03:874,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,5.08,-79,-1.94,-9.47,0.0,2,34,2017-05-04 19:49:04:164,-0.02,-0.98,-0.19,0.13,0.03,-0.01,1.37,-0.12,0.09,-0.2,-0.15,0.2,setBreak,setBreak,2017-05-04 19:49:04:244,6
15b97f918a0f190e,6.32,-64,2.05,-8.36,-2.97,5,1,2017-05-04 19:49:04:335,6f04e4f3c33f4582,4.97,-80,-2.57,-9.32,0.51,1,34,2017-05-04 19:49:04:311,81d2d09867170c78,4.67,-89,-0.39,-10.03,-0.85,0,0,2017-05-04 19:49:04:239,b629b3c016e88b50,4.02,-85,-5.05,-8.2,-0.87,9,3,2017-05-04 19:49:04:331,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,5.31,-79,-2.72,-8.97,-0.14,2,34,2017-05-04 19:49:04:278,-0.01,-0.98,-0.22,0.1,0.05,0.01,1.35,-0.07,0.03,-0.15,0.14,0.17,setBreak,setBreak,2017-05-04 19:49:04:344,6
15b97f918a0f190e,6.32,-64,2.05,-8.36,-2.97,5,1,2017-05-04 19:49:04:335,6f04e4f3c33f4582,4.97,-80,-2.57,-9.32,0.51,1,34,2017-05-04 19:49:04:311,81d2d09867170c78,4.67,-89,-0.39,-10.03,-0.85,0,0,2017-05-04 19:49:04:239,b629b3c016e88b50,4.25,-85,-5.0,-9.19,-1.6,9,3,2017-05-04 19:49:04:443,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,5.31,-79,-2.72,-8.97,-0.14,2,34,2017-05-04 19:49:04:278,0.01,-0.97,-0.23,0.08,-0.04,-0.09,1.34,0.04,-0.05,-0.07,0.27,-0.27,setBreak,setBreak,2017-05-04 19:49:04:444,6
15b97f918a0f190e,6.49,-64,1.69,-9.61,-2.25,5,1,2017-05-04 19:49:04:450,6f04e4f3c33f4582,4.97,-80,-2.57,-9.32,0.51,1,34,2017-05-04 19:49:04:311,81d2d09867170c78,4.63,-85,-1.05,-9.73,-0.39,0,0,2017-05-04 19:49:04:472,b629b3c016e88b50,4.25,-85,-5.0,-9.19,-1.6,9,3,2017-05-04 19:49:04:443,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,5.31,-79,-2.72,-8.97,-0.14,2,34,2017-05-04 19:49:04:278,0.04,-0.97,-0.25,0.07,0.05,-0.06,1.32,0.18,-0.18,-0.07,-0.17,-0.24,setBreak,setBreak,2017-05-04 19:49:04:545,6
15b97f918a0f190e,6.68,-65,2.18,-8.65,-2.43,5,1,2017-05-04 19:49:04:562,6f04e4f3c33f4582,4.97,-80,-2.57,-9.32,0.51,1,34,2017-05-04 19:49:04:311,81d2d09867170c78,4.63,-85,-1.05,-9.73,-0.39,0,0,2017-05-04 19:49:04:472,b629b3c016e88b50,4.25,-85,-5.0,-9.19,-1.6,9,3,2017-05-04 19:49:04:443,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,4.93,-70,-9.19,-7.81,-0.69,3,34,2017-05-04 19:49:04:609,0.06,-0.97,-0.25,-0.02,0.07,-0.04,1.31,0.25,-0.27,0.21,0.02,-0.2,setBreak,setBreak,2017-05-04 19:49:04:647,6
15b97f918a0f190e,6.68,-65,2.18,-8.65,-2.43,5,1,2017-05-04 19:49:04:562,6f04e4f3c33f4582,4.97,-80,-2.57,-9.32,0.51,1,34,2017-05-04 19:49:04:311,81d2d09867170c78,4.59,127,-1.34,-10.25,-0.74,1,0,2017-05-04 19:49:04:708,b629b3c016e88b50,4.25,-85,-5.0,-9.19,-1.6,9,3,2017-05-04 19:49:04:443,c3f8b83f7aaa4c4b,3.89,-88,-2.98,-7.89,3.56,3,9,2017-05-04 19:49:04:008,ca7d0c3306de2d28,5.16,-70,0.53,-7.41,0.04,3,34,2017-05-04 19:49:04:725,0.06,-0.97,-0.22,0.04,-0.05,-0.03,1.34,0.27,-0.26,0.31,0.49,0.3,setBreak,setBreak,2017-05-04 19:49:04:746,6
15b97f918a0f190e,6.68,-65,2.18,-8.65,-2.43,5,1,2017-05-04 19:49:04:562,6f04e4f3c33f4582,4.42,-80,-3.43,-9.04,1.08,2,34,2017-05-04 19:49:04:762,81d2d09867170c78,4.59,127,-1.34,-10.25,-0.74,1,0,2017-05-04 19:49:04:708,b629b3c016e88b50,4.25,-85,-5.0,-9.19,-1.6,9,3,2017-05-04 19:49:04:443,c3f8b83f7aaa4c4b,3.24,-85,-2.82,-8.55,3.07,4,9,2017-05-04 19:49:04:780,ca7d0c3306de2d28,5.16,-70,0.53,-7.41,0.04,3,34,2017-05-04 19:49:04:725,0.04,-0.98,-0.2,0.19,-0.01,-0.01,1.37,0.18,-0.15,0.25,-0.22,0.33,setBreak,setBreak,2017-05-04 19:49:04:846,6
