Right Hand: nearableID,Right Hand: frequency,Right Hand: rssi,Right Hand: xAcceleration,Right Hand: yAcceleration,Right Hand: zAcceleration,Right Hand: currentStateDuration,Right Hand: previousStateDuration,Right Hand: timeStampRecorded,Left Foot: nearableID,Left Foot: frequency,Left Foot: rssi,Left Foot: xAcceleration,Left Foot: yAcceleration,Left Foot: zAcceleration,Left Foot: currentStateDuration,Left Foot: previousStateDuration,Left Foot: timeStampRecorded,Chest: nearableID,Chest: frequency,Chest: rssi,Chest: xAcceleration,Chest: yAcceleration,Chest: zAcceleration,Chest: currentStateDuration,Chest: previousStateDuration,Chest: timeStampRecorded,Left Hand: nearableID,Left Hand: frequency,Left Hand: rssi,Left Hand: xAcceleration,Left Hand: yAcceleration,Left Hand: zAcceleration,Left Hand: currentStateDuration,Left Hand: previousStateDuration,Left Hand: timeStampRecorded,Belly: nearableID,Belly: frequency,Belly: rssi,Belly: xAcceleration,Belly: yAcceleration,Belly: zAcceleration,Belly: currentStateDuration,Belly: previousStateDuration,Belly: timeStampRecorded,Right Foot: nearableID,Right Foot: frequency,Right Foot: rssi,Right Foot: xAcceleration,Right Foot: yAcceleration,Right Foot: zAcceleration,Right Foot: currentStateDuration,Right Foot: previousStateDuration,Right Foot: timeStampRecorded,Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
15b97f918a0f190e,5.45,-62,1.17,-11.18,4.24,4,0,2017-04-28 08:44:05:665,6f04e4f3c33f4582,3.09,-86,-3.0,-9.75,1.7,3,0,2017-04-28 08:44:05:337,81d2d09867170c78,4.88,-86,1.43,-10.02,-0.9,20,3,2017-04-28 08:44:05:605,b629b3c016e88b50,2.94,-85,-4.39,-8.42,0.85,21,1,2017-04-28 08:44:05:713,c3f8b83f7aaa4c4b,3.74,-84,-1.19,-6.41,3.61,4,0,2017-04-28 08:44:05:638,ca7d0c3306de2d28,5.1,-80,0.04,-9.56,0.81,4,0,2017-04-28 08:44:05:707,,,,,,,,,,,,,setBreak,setBreak,2017-04-28 08:44:05:731,3
15b97f918a0f190e,5.45,-62,1.17,-11.18,4.24,4,0,2017-04-28 08:44:05:665,6f04e4f3c33f4582,3.09,-86,-3.0,-9.75,1.7,3,0,2017-04-28 08:44:05:337,81d2d09867170c78,4.84,-80,1.87,-9.33,-0.38,20,3,2017-04-28 08:44:05:825,b629b3c016e88b50,2.94,-85,-4.39,-8.42,0.85,21,1,2017-04-28 08:44:05:713,c3f8b83f7aaa4c4b,3.74,-84,-1.19,-6.41,3.61,4,0,2017-04-28 08:44:05:638,ca7d0c3306de2d28,5.1,-80,0.04,-9.56,0.81,4,0,2017-04-28 08:44:05:707,0.07,-1.0,-0.03,0.19,-0.02,-0.2,1.5,1.18,-1.09,0.59,1.08,0.54,setBreak,setBreak,2017-04-28 08:44:05:827,3
15b97f918a0f190e,5.32,-62,1.3,-10.27,1.59,4,0,2017-04-28 08:44:05:895,6f04e4f3c33f4582,2.9,-92,-1.3,-10.82,0.53,4,0,2017-04-28 08:44:05:876,81d2d09867170c78,4.84,-80,1.87,-9.33,-0.38,20,3,2017-04-28 08:44:05:825,b629b3c016e88b50,2.94,-85,-4.39,-8.42,0.85,21,1,2017-04-28 08:44:05:713,c3f8b83f7aaa4c4b,3.81,-84,0.2,-9.32,1.58,4,0,2017-04-28 08:44:05:853,ca7d0c3306de2d28,5.1,-80,0.04,-9.56,0.81,4,0,2017-04-28 08:44:05:707,0.02,-1.0,0.07,-0.02,0.05,-0.36,1.5,2.87,-2.67,1.05,1.84,0.29,setBreak,setBreak,2017-04-28 08:44:05:926,3
15b97f918a0f190e,5.53,-62,2.09,-10.98,-0.29,4,0,2017-04-28 08:44:06:010,6f04e4f3c33f4582,2.9,-92,-1.3,-10.82,0.53,4,0,2017-04-28 08:44:05:876,81d2d09867170c78,4.84,-80,1.87,-9.33,-0.38,20,3,2017-04-28 08:44:05:825,b629b3c016e88b50,2.94,-85,-4.39,-8.42,0.85,21,1,2017-04-28 08:44:05:713,c3f8b83f7aaa4c4b,3.81,-84,0.2,-9.32,1.58,4,0,2017-04-28 08:44:05:853,ca7d0c3306de2d28,5.03,-80,-0.28,-9.62,1.4,4,0,2017-04-28 08:44:05:931,-0.03,-0.99,0.16,0.0,-0.02,-0.45,1.41,-2.95,-2.94,0.82,2.18,0.31,setBreak,setBreak,2017-04-28 08:44:06:026,3
15b97f918a0f190e,5.79,-63,1.71,-10.25,-1.78,5,0,2017-04-28 08:44:06:111,6f04e4f3c33f4582,2.9,-92,-1.3,-10.82,0.53,4,0,2017-04-28 08:44:05:876,81d2d09867170c78,4.81,-94,2.24,-9.0,-1.02,20,3,2017-04-28 08:44:06:045,b629b3c016e88b50,2.94,-85,-4.39,-8.42,0.85,21,1,2017-04-28 08:44:05:713,c3f8b83f7aaa4c4b,3.81,-84,0.2,-9.32,1.58,4,0,2017-04-28 08:44:05:853,ca7d0c3306de2d28,5.24,-78,-0.76,-9.64,1.14,4,0,2017-04-28 08:44:06:052,-0.13,-0.97,0.2,0.18,-0.03,-0.4,1.34,-2.56,-3.1,0.24,2.1,0.66,setBreak,setBreak,2017-04-28 08:44:06:126,3
15b97f918a0f190e,5.79,-63,1.71,-10.25,-1.78,5,0,2017-04-28 08:44:06:111,6f04e4f3c33f4582,2.9,-92,-1.3,-10.82,0.53,4,0,2017-04-28 08:44:05:876,81d2d09867170c78,4.81,-94,2.24,-9.0,-1.02,20,3,2017-04-28 08:44:06:045,b629b3c016e88b50,2.86,-91,-1.94,-10.86,-5.27,22,1,2017-04-28 08:44:06:154,c3f8b83f7aaa4c4b,3.81,-84,0.2,-9.32,1.58,4,0,2017-04-28 08:44:05:853,ca7d0c3306de2d28,5.24,-78,-0.76,-9.64,1.14,4,0,2017-04-28 08:44:06:052,-0.2,-0.96,0.17,0.41,-0.11,-0.39,1.3,-2.27,3.02,-0.07,0.79,0.36,setBreak,setBreak,2017-04-28 08:44:06:226,3
15b97f918a0f190e,5.65,-60,2.03,-8.18,-2.52,5,0,2017-04-28 08:44:06:326,6f04e4f3c33f4582,2.82,-76,-2.22,-9.75,1.9,4,0,2017-04-28 08:44:06:315,81d2d09867170c78,4.76,-93,0.34,-10.04,-1.61,21,3,2017-04-28 08:44:06:273,b629b3c016e88b50,2.86,-91,-1.94,-10.86,-5.27,22,1,2017-04-28 08:44:06:154,c3f8b83f7aaa4c4b,3.56,-90,-4.74,-6.88,-0.7,5,0,2017-04-28 08:44:06:299,ca7d0c3306de2d28,5.24,-78,-0.76,-9.64,1.14,4,0,2017-04-28 08:44:06:052,-0.27,-0.95,0.15,0.21,0.1,-0.6,1.26,-2.1,2.96,0.16,1.29,0.59,setBreak,setBreak,2017-04-28 08:44:06:327,3
15b97f918a0f190e,5.65,-60,2.03,-8.18,-2.52,5,0,2017-04-28 08:44:06:326,6f04e4f3c33f4582,2.82,-76,-2.22,-9.75,1.9,4,0,2017-04-28 08:44:06:315,81d2d09867170c78,5.01,127,-1.96,-11.0,-2.08,21,3,2017-04-28 08:44:06:381,b629b3c016e88b50,2.86,-91,-1.94,-10.86,-5.27,22,1,2017-04-28 08:44:06:154,c3f8b83f7aaa4c4b,3.79,127,-4.26,-12.69,2.84,5,0,2017-04-28 08:44:06:410,ca7d0c3306de2d28,4.9,-73,-2.13,-8.83,2.45,5,0,2017-04-28 08:44:06:375,-0.32,-0.94,0.15,0.4,-0.07,-0.61,1.21,-2.01,2.94,0.12,0.54,0.31,setBreak,setBreak,2017-04-28 08:44:06:427,3
15b97f918a0f190e,5.88,-62,1.77,-10.72,-2.22,5,0,2017-04-28 08:44:06:433,6f04e4f3c33f4582,2.82,-76,-2.22,-9.75,1.9,4,0,2017-04-28 08:44:06:315,81d2d09867170c78,5.01,127,-1.96,-11.0,-2.08,21,3,2017-04-28 08:44:06:381,b629b3c016e88b50,2.86,-91,-1.94,-10.86,-5.27,22,1,2017-04-28 08:44:06:154,c3f8b83f7aaa4c4b,4.04,-94,-4.53,-5.52,0.62,5,0,2017-04-28 08:44:06:511,ca7d0c3306de2d28,4.9,-73,-2.13,-8.83,2.45,5,0,2017-04-28 08:44:06:375,-0.36,-0.93,0.12,0.31,0.06,-0.53,1.19,-1.89,2.9,-0.08,0.71,0.2,setBreak,setBreak,2017-04-28 08:44:06:528,3
15b97f918a0f190e,6.07,-59,2.07,-8.85,-2.88,5,0,2017-04-28 08:44:06:550,6f04e4f3c33f4582,2.82,-76,-2.22,-9.75,1.9,4,0,2017-04-28 08:44:06:315,81d2d09867170c78,5.01,127,-1.96,-11.0,-2.08,21,3,2017-04-28 08:44:06:381,b629b3c016e88b50,2.77,-88,-4.9,-8.05,-0.73,22,1,2017-04-28 08:44:06:609,c3f8b83f7aaa4c4b,4.04,-94,-4.53,-5.52,0.62,5,0,2017-04-28 08:44:06:511,ca7d0c3306de2d28,4.86,-68,0.04,-8.22,2.06,5,0,2017-04-28 08:44:06:596,-0.37,-0.92,0.09,0.32,0.0,-0.52,1.18,-1.82,2.87,-0.16,0.31,-0.01,setBreak,setBreak,2017-04-28 08:44:06:629,3
