Right Hand: nearableID,Right Hand: frequency,Right Hand: rssi,Right Hand: xAcceleration,Right Hand: yAcceleration,Right Hand: zAcceleration,Right Hand: currentStateDuration,Right Hand: previousStateDuration,Right Hand: timeStampRecorded,Left Foot: nearableID,Left Foot: frequency,Left Foot: rssi,Left Foot: xAcceleration,Left Foot: yAcceleration,Left Foot: zAcceleration,Left Foot: currentStateDuration,Left Foot: previousStateDuration,Left Foot: timeStampRecorded,Chest: nearableID,Chest: frequency,Chest: rssi,Chest: xAcceleration,Chest: yAcceleration,Chest: zAcceleration,Chest: currentStateDuration,Chest: previousStateDuration,Chest: timeStampRecorded,Left Hand: nearableID,Left Hand: frequency,Left Hand: rssi,Left Hand: xAcceleration,Left Hand: yAcceleration,Left Hand: zAcceleration,Left Hand: currentStateDuration,Left Hand: previousStateDuration,Left Hand: timeStampRecorded,Belly: nearableID,Belly: frequency,Belly: rssi,Belly: xAcceleration,Belly: yAcceleration,Belly: zAcceleration,Belly: currentStateDuration,Belly: previousStateDuration,Belly: timeStampRecorded,Right Foot: nearableID,Right Foot: frequency,Right Foot: rssi,Right Foot: xAcceleration,Right Foot: yAcceleration,Right Foot: zAcceleration,Right Foot: currentStateDuration,Right Foot: previousStateDuration,Right Foot: timeStampRecorded,Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
15b97f918a0f190e,3.33,-59,3.89,-10.83,-1.63,2,3,2017-05-02 18:39:38:856,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.07,-0.96,-0.25,0.01,-0.05,0.0,1.3,-0.28,0.03,-0.25,-0.8,-0.7,setBreak,setBreak,2017-05-02 18:39:38:913,4
15b97f918a0f190e,3.55,-61,3.11,-9.47,-1.8,2,3,2017-05-02 18:39:38:968,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.04,-0.96,-0.26,-0.11,0.0,0.13,1.3,-0.14,-0.17,-0.04,-0.48,-0.52,setBreak,setBreak,2017-05-02 18:39:38:997,4
15b97f918a0f190e,3.55,-61,3.11,-9.47,-1.8,2,3,2017-05-02 18:39:38:968,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.02,-0.97,-0.25,-0.11,0.02,0.12,1.32,-0.06,-0.29,0.25,-0.29,-0.16,setBreak,setBreak,2017-05-02 18:39:39:097,4
15b97f918a0f190e,3.64,-62,3.71,-9.93,-1.63,2,3,2017-05-02 18:39:39:184,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.05,-0.97,-0.22,-0.14,-0.06,-0.07,1.34,-0.21,-0.14,-0.01,0.82,0.3,setBreak,setBreak,2017-05-02 18:39:39:198,4
15b97f918a0f190e,3.87,-61,-1.47,-9.59,-5.04,2,3,2017-05-02 18:39:39:292,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.05,-0.97,-0.25,0.06,-0.01,-0.01,1.31,-0.19,-0.01,-0.27,0.55,0.38,setBreak,setBreak,2017-05-02 18:39:39:297,4
15b97f918a0f190e,3.87,-61,-1.47,-9.59,-5.04,2,3,2017-05-02 18:39:39:292,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.09,-0.96,-0.26,0.09,0.06,0.15,1.29,-0.33,0.1,0.14,-1.09,0.27,setBreak,setBreak,2017-05-02 18:39:39:397,4
15b97f918a0f190e,4.1,-62,-0.56,-8.57,-2.45,2,3,2017-05-02 18:39:39:406,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.12,-87,-1.01,-8.87,-4.38,0,2,2017-05-02 18:39:38:555,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.13,-0.97,-0.2,-0.03,-0.03,0.01,1.33,-0.58,0.2,0.49,-1.26,-0.1,setBreak,setBreak,2017-05-02 18:39:39:497,4
15b97f918a0f190e,4.1,-62,-0.56,-8.57,-2.45,2,3,2017-05-02 18:39:39:406,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,1.91,-93,-0.28,-8.79,-4.52,1,0,2017-05-02 18:39:39:537,b629b3c016e88b50,2.96,-92,-5.27,-8.53,-1.78,6,11,2017-05-02 18:39:38:249,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.12,-0.98,-0.16,-0.15,-0.03,-0.07,1.37,-0.66,0.27,0.39,0.75,-0.14,setBreak,setBreak,2017-05-02 18:39:39:597,4
15b97f918a0f190e,4.15,-58,3.7,-9.28,-1.15,3,3,2017-05-02 18:39:39:623,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,1.91,-93,-0.28,-8.79,-4.52,1,0,2017-05-02 18:39:39:537,b629b3c016e88b50,2.27,-84,-4.25,-8.82,-2.12,0,0,2017-05-02 18:39:39:609,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.1,-0.98,-0.14,-0.05,-0.02,0.0,1.4,-0.63,0.33,0.16,0.93,0.01,setBreak,setBreak,2017-05-02 18:39:39:697,4
15b97f918a0f190e,4.37,-59,1.15,-9.15,-3.14,3,3,2017-05-02 18:39:39:741,6f04e4f3c33f4582,0.93,-81,-3.83,-8.89,0.65,1,0,2017-05-02 18:39:23:392,81d2d09867170c78,2.03,-91,-0.3,-8.95,-4.42,1,0,2017-05-02 18:39:39:759,b629b3c016e88b50,2.27,-84,-4.25,-8.82,-2.12,0,0,2017-05-02 18:39:39:609,c3f8b83f7aaa4c4b,2.91,-88,-3.36,-8.8,0.51,1,1,2017-05-02 18:39:37:576,ca7d0c3306de2d28,1.15,-73,0.39,-9.89,-0.45,1,0,2017-05-02 18:39:34:328,-0.11,-0.98,-0.15,0.07,-0.01,-0.02,1.39,-0.64,0.37,-0.12,-0.25,0.1,setBreak,setBreak,2017-05-02 18:39:39:798,4
