Right Hand: nearableID,Right Hand: frequency,Right Hand: rssi,Right Hand: xAcceleration,Right Hand: yAcceleration,Right Hand: zAcceleration,Right Hand: currentStateDuration,Right Hand: previousStateDuration,Right Hand: timeStampRecorded,Left Foot: nearableID,Left Foot: frequency,Left Foot: rssi,Left Foot: xAcceleration,Left Foot: yAcceleration,Left Foot: zAcceleration,Left Foot: currentStateDuration,Left Foot: previousStateDuration,Left Foot: timeStampRecorded,Chest: nearableID,Chest: frequency,Chest: rssi,Chest: xAcceleration,Chest: yAcceleration,Chest: zAcceleration,Chest: currentStateDuration,Chest: previousStateDuration,Chest: timeStampRecorded,Left Hand: nearableID,Left Hand: frequency,Left Hand: rssi,Left Hand: xAcceleration,Left Hand: yAcceleration,Left Hand: zAcceleration,Left Hand: currentStateDuration,Left Hand: previousStateDuration,Left Hand: timeStampRecorded,Belly: nearableID,Belly: frequency,Belly: rssi,Belly: xAcceleration,Belly: yAcceleration,Belly: zAcceleration,Belly: currentStateDuration,Belly: previousStateDuration,Belly: timeStampRecorded,Right Foot: nearableID,Right Foot: frequency,Right Foot: rssi,Right Foot: xAcceleration,Right Foot: yAcceleration,Right Foot: zAcceleration,Right Foot: currentStateDuration,Right Foot: previousStateDuration,Right Foot: timeStampRecorded,Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
15b97f918a0f190e,4.56,-65,0.87,-10.79,-6.19,5,0,2017-05-02 18:44:51:285,6f04e4f3c33f4582,3.09,-86,-2.37,-10.11,0.18,7,1,2017-05-02 18:44:51:411,81d2d09867170c78,3.33,-94,-0.45,-8.42,-4.06,5,0,2017-05-02 18:44:51:420,b629b3c016e88b50,3.75,-89,-4.53,-10.23,-4.11,26,11,2017-05-02 18:44:50:770,c3f8b83f7aaa4c4b,4.33,-88,-4.96,-7.75,-0.57,5,0,2017-05-02 18:44:51:182,ca7d0c3306de2d28,5.55,-76,1.11,-8.95,-3.8,5,1,2017-05-02 18:44:51:422,0.04,-0.9,-0.43,-0.04,-0.05,-0.09,1.13,0.09,-0.01,-0.24,0.76,0.75,setBreak,setBreak,2017-05-02 18:44:51:432,4
15b97f918a0f190e,4.56,-64,0.17,-10.34,-3.06,5,0,2017-05-02 18:44:51:503,6f04e4f3c33f4582,3.31,-85,-4.36,-8.34,1.41,8,1,2017-05-02 18:44:51:521,81d2d09867170c78,3.33,-94,-0.45,-8.42,-4.06,5,0,2017-05-02 18:44:51:420,b629b3c016e88b50,3.25,127,-5.17,-9.75,-1.04,27,11,2017-05-02 18:44:51:447,c3f8b83f7aaa4c4b,4.33,-88,-4.96,-7.75,-0.57,5,0,2017-05-02 18:44:51:182,ca7d0c3306de2d28,5.55,-76,1.11,-8.95,-3.8,5,1,2017-05-02 18:44:51:422,-0.01,-0.89,-0.46,0.02,0.01,-0.02,1.1,-0.01,0.17,-0.38,0.35,0.81,setBreak,setBreak,2017-05-02 18:44:51:526,4
15b97f918a0f190e,4.8,-64,0.52,-8.08,-2.07,6,0,2017-05-02 18:44:51:612,6f04e4f3c33f4582,3.31,-85,-4.36,-8.34,1.41,8,1,2017-05-02 18:44:51:521,81d2d09867170c78,3.54,-87,-0.89,-8.09,-4.13,5,0,2017-05-02 18:44:51:539,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.0,-85,-6.4,-7.78,-0.82,6,0,2017-05-02 18:44:51:603,ca7d0c3306de2d28,5.77,-79,-3.62,-9.77,-2.11,5,1,2017-05-02 18:44:51:533,-0.05,-0.88,-0.48,0.04,0.03,0.04,1.07,-0.11,0.32,-0.09,0.54,0.73,setBreak,setBreak,2017-05-02 18:44:51:624,4
15b97f918a0f190e,5.05,-64,0.65,-7.28,-1.9,6,0,2017-05-02 18:44:51:717,6f04e4f3c33f4582,3.31,-85,-4.36,-8.34,1.41,8,1,2017-05-02 18:44:51:521,81d2d09867170c78,3.76,-90,-1.52,-9.17,-4.6,5,0,2017-05-02 18:44:51:653,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.0,-85,-6.4,-7.78,-0.82,6,0,2017-05-02 18:44:51:603,ca7d0c3306de2d28,5.98,-83,0.4,-9.15,0.31,5,1,2017-05-02 18:44:51:646,-0.06,-0.88,-0.47,0.05,0.13,-0.06,1.07,-0.14,0.43,0.25,0.76,0.3,setBreak,setBreak,2017-05-02 18:44:51:725,4
15b97f918a0f190e,5.05,-64,0.65,-7.28,-1.9,6,0,2017-05-02 18:44:51:717,6f04e4f3c33f4582,3.41,-90,-4.39,-8.49,0.98,8,1,2017-05-02 18:44:51:740,81d2d09867170c78,3.76,-90,-1.52,-9.17,-4.6,5,0,2017-05-02 18:44:51:653,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.04,127,-4.06,-7.62,-0.44,6,0,2017-05-02 18:44:51:824,ca7d0c3306de2d28,5.98,-83,0.4,-9.15,0.31,5,1,2017-05-02 18:44:51:646,-0.03,-0.89,-0.45,-0.04,0.06,-0.05,1.11,-0.07,0.46,0.49,1.25,0.01,setBreak,setBreak,2017-05-02 18:44:51:828,4
15b97f918a0f190e,5.05,-64,0.65,-7.28,-1.9,6,0,2017-05-02 18:44:51:717,6f04e4f3c33f4582,3.63,-83,-4.75,-9.32,0.99,8,1,2017-05-02 18:44:51:852,81d2d09867170c78,3.76,-90,-1.52,-9.17,-4.6,5,0,2017-05-02 18:44:51:653,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.04,127,-4.06,-7.62,-0.44,6,0,2017-05-02 18:44:51:824,ca7d0c3306de2d28,5.98,-83,0.4,-9.15,0.31,5,1,2017-05-02 18:44:51:646,0.01,-0.92,-0.39,0.07,-0.29,0.11,1.17,0.02,0.53,0.74,1.66,0.52,setBreak,setBreak,2017-05-02 18:44:51:925,4
15b97f918a0f190e,4.98,-61,2.0,-10.08,-3.04,6,0,2017-05-02 18:44:51:945,6f04e4f3c33f4582,3.86,127,-3.3,-10.22,-2.97,8,1,2017-05-02 18:44:51:963,81d2d09867170c78,3.76,-90,-1.52,-9.17,-4.6,5,0,2017-05-02 18:44:51:653,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.04,127,-4.06,-7.62,-0.44,6,0,2017-05-02 18:44:51:824,ca7d0c3306de2d28,5.46,-83,-5.04,-11.1,-4.57,5,1,2017-05-02 18:44:51:973,-0.0,-0.94,-0.33,0.35,0.11,0.17,1.24,-0.01,0.65,0.45,-0.06,0.34,setBreak,setBreak,2017-05-02 18:44:52:025,4
15b97f918a0f190e,5.22,-59,1.26,-10.2,-2.86,6,0,2017-05-02 18:44:52:054,6f04e4f3c33f4582,3.86,127,-3.3,-10.22,-2.97,8,1,2017-05-02 18:44:51:963,81d2d09867170c78,3.76,-90,-1.52,-9.17,-4.6,5,0,2017-05-02 18:44:51:653,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.09,-87,-4.21,-6.74,0.06,6,0,2017-05-02 18:44:52:043,ca7d0c3306de2d28,5.68,-76,-1.29,-9.27,0.7,5,1,2017-05-02 18:44:52:085,-0.04,-0.95,-0.29,0.11,-0.14,0.04,1.27,-0.13,0.76,0.2,0.35,0.29,setBreak,setBreak,2017-05-02 18:44:52:126,4
15b97f918a0f190e,5.45,-57,3.89,-10.25,-1.28,6,0,2017-05-02 18:44:52:165,6f04e4f3c33f4582,3.91,-86,1.89,-11.45,3.14,8,1,2017-05-02 18:44:52:188,81d2d09867170c78,3.48,127,2.48,-9.41,-2.15,0,0,2017-05-02 18:44:52:135,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.32,-88,-1.92,-8.84,2.21,6,0,2017-05-02 18:44:52:157,ca7d0c3306de2d28,5.68,-76,-1.29,-9.27,0.7,5,1,2017-05-02 18:44:52:085,-0.06,-0.95,-0.3,0.12,-0.08,0.13,1.26,-0.18,0.89,-0.28,1.04,0.73,setBreak,setBreak,2017-05-02 18:44:52:228,4
15b97f918a0f190e,5.45,-57,3.89,-10.25,-1.28,6,0,2017-05-02 18:44:52:165,6f04e4f3c33f4582,4.16,-82,-2.24,-8.35,1.76,8,1,2017-05-02 18:44:52:289,81d2d09867170c78,3.7,-85,2.47,-10.42,-2.57,0,0,2017-05-02 18:44:52:254,b629b3c016e88b50,3.47,127,-4.08,-9.19,-1.81,27,11,2017-05-02 18:44:51:559,c3f8b83f7aaa4c4b,4.32,-88,-1.92,-8.84,2.21,6,0,2017-05-02 18:44:52:157,ca7d0c3306de2d28,5.54,-74,-1.19,-9.78,0.19,6,1,2017-05-02 18:44:52:306,-0.08,-0.93,-0.35,0.17,-0.12,0.21,1.2,-0.23,1.07,-0.41,0.86,0.41,setBreak,setBreak,2017-05-02 18:44:52:326,4
