Right Hand: nearableID,Right Hand: frequency,Right Hand: rssi,Right Hand: xAcceleration,Right Hand: yAcceleration,Right Hand: zAcceleration,Right Hand: currentStateDuration,Right Hand: previousStateDuration,Right Hand: timeStampRecorded,Left Foot: nearableID,Left Foot: frequency,Left Foot: rssi,Left Foot: xAcceleration,Left Foot: yAcceleration,Left Foot: zAcceleration,Left Foot: currentStateDuration,Left Foot: previousStateDuration,Left Foot: timeStampRecorded,Chest: nearableID,Chest: frequency,Chest: rssi,Chest: xAcceleration,Chest: yAcceleration,Chest: zAcceleration,Chest: currentStateDuration,Chest: previousStateDuration,Chest: timeStampRecorded,Left Hand: nearableID,Left Hand: frequency,Left Hand: rssi,Left Hand: xAcceleration,Left Hand: yAcceleration,Left Hand: zAcceleration,Left Hand: currentStateDuration,Left Hand: previousStateDuration,Left Hand: timeStampRecorded,Belly: nearableID,Belly: frequency,Belly: rssi,Belly: xAcceleration,Belly: yAcceleration,Belly: zAcceleration,Belly: currentStateDuration,Belly: previousStateDuration,Belly: timeStampRecorded,Right Foot: nearableID,Right Foot: frequency,Right Foot: rssi,Right Foot: xAcceleration,Right Foot: yAcceleration,Right Foot: zAcceleration,Right Foot: currentStateDuration,Right Foot: previousStateDuration,Right Foot: timeStampRecorded,Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.78,-81,-2.66,-9.15,-1.06,0,3,2017-04-28 08:36:52:413,81d2d09867170c78,3.45,-81,-0.45,-9.41,-2.52,1,8,2017-04-28 08:36:50:136,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.46,127,-3.51,-8.8,-0.12,1,3,2017-04-28 08:36:53:083,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,,,,,,,,,,,,,setBreak,setBreak,2017-04-28 08:36:53:097,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.78,-81,-2.66,-9.15,-1.06,0,3,2017-04-28 08:36:52:413,81d2d09867170c78,3.45,-81,-0.45,-9.41,-2.52,1,8,2017-04-28 08:36:50:136,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.46,127,-3.51,-8.8,-0.12,1,3,2017-04-28 08:36:53:083,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.11,-0.98,-0.17,-0.01,-0.02,0.02,1.37,-0.59,0.49,-0.12,0.57,-0.32,setBreak,setBreak,2017-04-28 08:36:53:183,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.71,-84,-2.55,-9.46,-1.79,1,0,2017-04-28 08:36:53:208,81d2d09867170c78,3.45,-81,-0.45,-9.41,-2.52,1,8,2017-04-28 08:36:50:136,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.6,-83,-2.9,-9.44,-0.31,1,3,2017-04-28 08:36:53:198,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.08,-0.98,-0.18,0.02,-0.0,0.09,1.37,-0.41,0.35,-0.17,0.43,-0.15,setBreak,setBreak,2017-04-28 08:36:53:285,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.71,-84,-2.55,-9.46,-1.79,1,0,2017-04-28 08:36:53:208,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.6,-83,-2.9,-9.44,-0.31,1,3,2017-04-28 08:36:53:198,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.07,-0.98,-0.18,0.07,-0.04,0.1,1.37,-0.35,0.33,-0.16,0.26,0.1,setBreak,setBreak,2017-04-28 08:36:53:383,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.71,-84,-2.55,-9.46,-1.79,1,0,2017-04-28 08:36:53:208,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.6,-83,-2.9,-9.44,-0.31,1,3,2017-04-28 08:36:53:198,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.06,-0.98,-0.18,0.15,-0.06,0.1,1.38,-0.35,0.34,-0.14,-0.07,0.28,setBreak,setBreak,2017-04-28 08:36:53:483,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.71,-84,-2.55,-9.46,-1.79,1,0,2017-04-28 08:36:53:208,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.6,-83,-2.9,-9.44,-0.31,1,3,2017-04-28 08:36:53:198,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.08,-0.98,-0.18,0.19,-0.05,0.1,1.38,-0.42,0.39,-0.11,-0.53,0.35,setBreak,setBreak,2017-04-28 08:36:53:583,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.76,-91,-1.81,-9.35,-0.24,0,1,2017-04-28 08:36:53:626,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.65,-87,-1.75,-9.75,0.49,2,3,2017-04-28 08:36:53:624,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.13,-0.98,-0.18,0.2,-0.07,0.09,1.35,-0.61,0.5,-0.16,-0.83,0.28,setBreak,setBreak,2017-04-28 08:36:53:683,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.91,-95,-2.05,-12.79,-2.74,0,1,2017-04-28 08:36:53:742,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,2.55,-93,-3.35,-9.01,-3.29,0,0,2017-04-28 08:36:50:631,c3f8b83f7aaa4c4b,1.65,-87,-1.75,-9.75,0.49,2,3,2017-04-28 08:36:53:624,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.15,-0.97,-0.17,0.04,-0.1,-0.0,1.34,-0.71,0.51,0.16,-0.42,-0.16,setBreak,setBreak,2017-04-28 08:36:53:784,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.91,-95,-2.05,-12.79,-2.74,0,1,2017-04-28 08:36:53:742,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,1.49,-92,-3.06,-10.64,-4.55,0,2,2017-04-28 08:36:53:790,c3f8b83f7aaa4c4b,1.65,-87,-1.75,-9.75,0.49,2,3,2017-04-28 08:36:53:624,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.14,-0.98,-0.17,0.0,0.09,-0.04,1.35,-0.7,0.5,-0.06,0.11,0.01,setBreak,setBreak,2017-04-28 08:36:53:886,3
15b97f918a0f190e,3.95,-64,1.77,-9.75,-1.98,1,13,2017-04-28 08:36:51:294,6f04e4f3c33f4582,1.91,-95,-2.05,-12.79,-2.74,0,1,2017-04-28 08:36:53:742,81d2d09867170c78,1.72,-83,1.76,-9.73,-2.56,0,4,2017-04-28 08:36:53:328,b629b3c016e88b50,1.49,-92,-3.06,-10.64,-4.55,0,2,2017-04-28 08:36:53:790,c3f8b83f7aaa4c4b,1.65,-87,-1.75,-9.75,0.49,2,3,2017-04-28 08:36:53:624,ca7d0c3306de2d28,3.56,-78,-0.38,-9.59,-0.28,1,7,2017-04-28 08:36:48:990,-0.14,-0.97,-0.17,0.12,-0.04,-0.04,1.34,-0.69,0.45,-0.14,-0.91,0.0,setBreak,setBreak,2017-04-28 08:36:53:986,3
